cell_line,row,column,well,seeding_density
KP-N-YN,C,3,C03,1000
KP-N-YN,D,3,D03,1000
NB-1,E,3,E03,1000
NB-1,F,3,F03,1000
ONS-76,G,3,G03,1000
ONS-76,H,3,H03,1000
SJSA-1,I,3,I03,1000
SJSA-1,J,3,J03,1000
SK-N-AS,K,3,K03,1000
SK-N-AS,L,3,L03,1000
KNS-42,M,3,M03,1000
KNS-42,N,3,N03,1000
KP-N-YN,C,4,C04,1000
KP-N-YN,D,4,D04,1000
NB-1,E,4,E04,1000
NB-1,F,4,F04,1000
ONS-76,G,4,G04,1000
ONS-76,H,4,H04,1000
SJSA-1,I,4,I04,1000
SJSA-1,J,4,J04,1000
SK-N-AS,K,4,K04,1000
SK-N-AS,L,4,L04,1000
KNS-42,M,4,M04,1000
KNS-42,N,4,N04,1000
KP-N-YN,C,5,C05,2000
KP-N-YN,D,5,D05,2000
NB-1,E,5,E05,2000
NB-1,F,5,F05,2000
ONS-76,G,5,G05,2000
ONS-76,H,5,H05,2000
SJSA-1,I,5,I05,2000
SJSA-1,J,5,J05,2000
SK-N-AS,K,5,K05,2000
SK-N-AS,L,5,L05,2000
KNS-42,M,5,M05,2000
KNS-42,N,5,N05,2000
KP-N-YN,C,6,C06,2000
KP-N-YN,D,6,D06,2000
NB-1,E,6,E06,2000
NB-1,F,6,F06,2000
ONS-76,G,6,G06,2000
ONS-76,H,6,H06,2000
SJSA-1,I,6,I06,2000
SJSA-1,J,6,J06,2000
SK-N-AS,K,6,K06,2000
SK-N-AS,L,6,L06,2000
KNS-42,M,6,M06,2000
KNS-42,N,6,N06,2000
KP-N-YN,C,7,C07,4000
KP-N-YN,D,7,D07,4000
NB-1,E,7,E07,4000
NB-1,F,7,F07,4000
ONS-76,G,7,G07,4000
ONS-76,H,7,H07,4000
SJSA-1,I,7,I07,4000
SJSA-1,J,7,J07,4000
SK-N-AS,K,7,K07,4000
SK-N-AS,L,7,L07,4000
KNS-42,M,7,M07,4000
KNS-42,N,7,N07,4000
KP-N-YN,C,8,C08,4000
KP-N-YN,D,8,D08,4000
NB-1,E,8,E08,4000
NB-1,F,8,F08,4000
ONS-76,G,8,G08,4000
ONS-76,H,8,H08,4000
SJSA-1,I,8,I08,4000
SJSA-1,J,8,J08,4000
SK-N-AS,K,8,K08,4000
SK-N-AS,L,8,L08,4000
KNS-42,M,8,M08,4000
KNS-42,N,8,N08,4000
KP-N-YN,C,9,C09,8000
KP-N-YN,D,9,D09,8000
NB-1,E,9,E09,8000
NB-1,F,9,F09,8000
ONS-76,G,9,G09,8000
ONS-76,H,9,H09,8000
SJSA-1,I,9,I09,8000
SJSA-1,J,9,J09,8000
SK-N-AS,K,9,K09,8000
SK-N-AS,L,9,L09,8000
KNS-42,M,9,M09,8000
KNS-42,N,9,N09,8000
KP-N-YN,C,10,C10,8000
KP-N-YN,D,10,D10,8000
NB-1,E,10,E10,8000
NB-1,F,10,F10,8000
ONS-76,G,10,G10,8000
ONS-76,H,10,H10,8000
SJSA-1,I,10,I10,8000
SJSA-1,J,10,J10,8000
SK-N-AS,K,10,K10,8000
SK-N-AS,L,10,L10,8000
KNS-42,M,10,M10,8000
KNS-42,N,10,N10,8000
KP-N-YN,C,11,C11,12000
KP-N-YN,D,11,D11,12000
NB-1,E,11,E11,12000
NB-1,F,11,F11,12000
ONS-76,G,11,G11,12000
ONS-76,H,11,H11,12000
SJSA-1,I,11,I11,12000
SJSA-1,J,11,J11,12000
SK-N-AS,K,11,K11,12000
SK-N-AS,L,11,L11,12000
KNS-42,M,11,M11,12000
KNS-42,N,11,N11,12000
KP-N-YN,C,12,C12,12000
KP-N-YN,D,12,D12,12000
NB-1,E,12,E12,12000
NB-1,F,12,F12,12000
ONS-76,G,12,G12,12000
ONS-76,H,12,H12,12000
SJSA-1,I,12,I12,12000
SJSA-1,J,12,J12,12000
SK-N-AS,K,12,K12,12000
SK-N-AS,L,12,L12,12000
KNS-42,M,12,M12,12000
KNS-42,N,12,N12,12000
U2-OS,M,13,M13,1000
U2-OS,N,13,N13,1000
U2-OS,M,14,M14,1000
U2-OS,N,14,N14,1000
U2-OS,M,15,M15,2000
U2-OS,N,15,N15,2000
U2-OS,M,16,M16,2000
U2-OS,N,16,N16,2000
U2-OS,M,17,M17,4000
U2-OS,N,17,N17,4000
U2-OS,M,18,M18,4000
U2-OS,N,18,N18,4000
U2-OS,M,19,M19,8000
U2-OS,N,19,N19,8000
U2-OS,M,20,M20,8000
U2-OS,N,20,N20,8000
U2-OS,M,21,M21,12000
U2-OS,N,21,N21,12000
U2-OS,M,22,M22,12000
U2-OS,N,22,N22,12000
