cell_line,row,column,well,seeding_density
A673,D,18,D18,4000
G292,E,18,E18,4000
G292,F,18,F18,4000
G401,G,18,G18,4000
G401,H,18,H18,4000
G402,I,18,I18,4000
G402,J,18,J18,4000
Saos-2,K,18,K18,4000
Saos-2,L,18,L18,4000
U2-OS,M,18,M18,4000
U2-OS,N,18,N18,4000
A673,C,19,C19,8000
A673,D,19,D19,8000
G292,E,19,E19,8000
G292,F,19,F19,8000
G401,G,19,G19,8000
G401,H,19,H19,8000
G402,I,19,I19,8000
G402,J,19,J19,8000
Saos-2,K,19,K19,8000
Saos-2,L,19,L19,8000
U2-OS,M,19,M19,8000
U2-OS,N,19,N19,8000
A673,C,20,C20,8000
A673,D,20,D20,8000
G292,E,20,E20,8000
G292,F,20,F20,8000
G401,G,20,G20,8000
G401,H,20,H20,8000
G402,I,20,I20,8000
G402,J,20,J20,8000
Saos-2,K,20,K20,8000
Saos-2,L,20,L20,8000
U2-OS,M,20,M20,8000
U2-OS,N,20,N20,8000
A673,C,21,C21,12000
A673,D,21,D21,12000
G292,E,21,E21,12000
G292,F,21,F21,12000
G401,G,21,G21,12000
G401,H,21,H21,12000
G402,I,21,I21,12000
G402,J,21,J21,12000
Saos-2,K,21,K21,12000
Saos-2,L,21,L21,12000
U2-OS,M,21,M21,12000
U2-OS,N,21,N21,12000
A673,C,22,C22,12000
A673,D,22,D22,12000
G292,E,22,E22,12000
G292,F,22,F22,12000
G401,G,22,G22,12000
G401,H,22,H22,12000
G402,I,22,I22,12000
G402,J,22,J22,12000
Saos-2,K,22,K22,12000
Saos-2,L,22,L22,12000
U2-OS,M,22,M22,12000
U2-OS,N,22,N22,12000
